"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
2024,3,"25",5,"2012",17,11,"0","2"
1902,7,"10",3,"2012",14,4,"1","1"
1895,7,"10",3,"2012",28,19,"1","1"
2070,3,"26",6,"2012",20,5,"5","2"
2076,3,"12",6,"2012",32,30,"1","2"
1941,3,"8",3,"2012",19,9,"2","1"
1888,2,"11",3,"2012",33,7,"2","3"
1878,1,"12",3,"2012",29,17,"3","0"
1911,4,"9",3,"2012",20,13,"1","0"
2091,1,"2",6,"2012",28,29,"2","2"
2069,3,"26",6,"2012",27,16,"1","2"
2075,3,"12",6,"2012",11,4,"2","0"
1936,4,"9",3,"2012",11,23,"4","0"
2068,3,"26",6,"2012",13,33,"3","0"
1956,6,"7",3,"2012",17,22,"0","2"
2100,2,"1",6,"2012",11,13,"1","0"
2130,7,"3",1,"2012",28,17,"0","2"
2072,3,"12",6,"2012",17,27,"2","3"
2099,2,"1",6,"2012",16,19,"2","0"
2120,3,"15",1,"2012",22,29,"1","0"
1928,4,"9",3,"2012",22,32,"2","0"
2098,2,"1",6,"2012",17,4,"1","1"
2129,7,"3",1,"2012",33,19,"1","2"
2119,3,"15",1,"2012",28,11,"1","1"
2041,2,"14",5,"2012",7,11,"3","0"
2092,1,"2",6,"2012",23,27,"3","0"
2097,2,"1",6,"2012",5,30,"3","1"
2118,3,"15",1,"2012",33,14,"3","1"
1781,6,"21",3,"2012",22,19,"3","0"
1772,6,"21",3,"2012",20,4,"0","0"
2123,1,"5",1,"2012",11,32,"1","2"
1789,6,"21",3,"2012",14,30,"2","1"
1764,6,"21",3,"2012",28,23,"0","0"
2136,3,"1",1,"2012",NULL,NULL,"",""
2096,2,"1",6,"2012",9,7,"0","3"
2067,3,"26",6,"2012",4,32,"3","0"
2066,3,"26",6,"2012",22,9,"2","2"
2065,3,"26",6,"2012",29,14,"0","1"
1866,1,"12",3,"2012",30,16,"1","0"
2064,3,"26",6,"2012",18,23,"4","0"
2054,3,"4",5,"2012",18,4,"1","0"
1980,6,"7",3,"2012",27,11,"2","2"
1858,1,"12",3,"2012",9,20,"0","3"
2063,3,"26",6,"2012",30,28,"0","0"
1849,6,"14",3,"2012",23,9,"0","0"
1842,6,"14",3,"2012",17,33,"3","0"
2053,3,"4",5,"2012",30,17,"0","2"
1972,6,"7",3,"2012",18,33,"3","0"
1834,6,"14",3,"2012",18,29,"1","0"
2052,4,"5",5,"2012",5,16,"1","3"
2062,4,"27",6,"2012",19,17,"2","0"
1870,1,"12",3,"2012",13,18,"4","0"
1964,6,"7",3,"2012",23,5,"0","0"
2051,6,"10",5,"2012",32,29,"2","1"
2055,3,"4",5,"2012",19,27,"1","0"
1991,6,"7",3,"2012",7,28,"1","1"
1733,4,"23",3,"2012",9,13,"0","2"
1757,3,"22",3,"2012",16,11,"4","4"
1725,2,"25",3,"2012",28,32,"1","2"
1741,4,"23",3,"2012",7,18,"0","1"
2061,6,"3",5,"2012",7,20,"1","2"
2021,6,"31",5,"2012",9,32,"2","3"
1688,6,"28",3,"2012",18,28,"0","0"
2060,3,"4",5,"2012",14,9,"5","0"
2050,3,"11",5,"2012",16,18,"2","0"
2020,6,"31",5,"2012",28,4,"2","4"
2059,3,"4",5,"2012",22,23,"1","1"
1680,6,"28",3,"2012",30,22,"4","0"
2049,3,"11",5,"2012",17,13,"1","0"
2022,7,"27",5,"2012",16,14,"1","0"
2019,6,"31",5,"2012",11,18,"2","0"
1672,3,"29",3,"2012",4,29,"6","1"
1664,3,"29",3,"2012",27,7,"0","3"
1696,6,"28",3,"2012",17,9,"4","4"
2048,3,"11",5,"2012",11,5,"1","0"
2058,3,"4",5,"2012",33,28,"1","1"
2117,3,"15",1,"2012",4,23,"1","0"
2109,3,"22",1,"2012",13,5,"3","2"
2116,3,"15",1,"2012",7,19,"0","0"
2018,6,"31",5,"2012",14,27,"2","1"
2017,6,"31",5,"2012",13,23,"3","3"
2115,3,"15",1,"2012",16,32,"3","0"
2016,6,"31",5,"2012",29,20,"2","1"
2015,6,"31",5,"2012",30,19,"2","0"
2014,3,"1",3,"2012",22,7,"2","0"
2135,3,"1",1,"2012",27,14,"1","1"
2023,4,"26",5,"2012",18,22,"1","3"
1632,2,"2",2,"2012",19,11,"1","1"
1624,1,"3",2,"2012",32,5,"1","4"
1720,6,"28",3,"2012",11,14,"4","0"
1712,6,"28",3,"2012",19,20,"1","1"
1616,1,"3",2,"2012",4,22,"0","2"
1704,6,"28",3,"2012",23,32,"2","2"
1749,3,"22",3,"2012",29,5,"1","0"
1610,6,"5",2,"2012",20,27,"3","3"
1602,3,"6",2,"2012",28,5,"1","1"
2013,4,"2",3,"2012",5,17,"3","1"
2124,2,"4",1,"2012",30,23,"1","4"
1641,2,"2",2,"2012",7,14,"0","1"
2012,7,"3",3,"2012",33,16,"0","2"
2047,3,"11",5,"2012",28,14,"1","0"
2114,3,"15",1,"2012",5,9,"1","1"
2113,3,"15",1,"2012",18,27,"1","2"
2128,7,"3",1,"2012",29,27,"1","2"
2112,4,"16",1,"2012",17,20,"3","2"
2127,7,"3",1,"2012",9,4,"1","2"
1513,3,"13",2,"2012",5,14,"2","0"
2111,7,"17",1,"2012",30,13,"0","1"
2095,1,"2",6,"2012",33,22,"0","2"
2125,2,"4",1,"2012",5,18,"1","0"
2038,3,"18",5,"2012",30,18,"1","1"
2090,6,"4",6,"2012",20,33,"7","1"
1560,4,"7",2,"2012",16,17,"2","0"
